Fondsposition per,"14.Mai2026"
 
Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung
"TRV","TRAVELERS COMPANIES INC","Financials","Aktien","21.006.178,38","0,06","21.006.178,38","70.422,00","298,29","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"APD","AIR PRODUCTS AND CHEMICALS INC","Materialien","Aktien","20.995.398,05","0,06","20.995.398,05","70.015,00","299,87","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"URI","UNITED RENTALS INC","Industrie","Aktien","20.941.018,08","0,06","20.941.018,08","21.523,00","972,96","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"FIX","COMFORT SYSTEMS USA INC","Industrie","Aktien","20.803.478,96","0,06","20.803.478,96","10.186,00","2.042,36","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"NA","NATIONAL BANK OF CANADA","Financials","Aktien","20.796.738,12","0,06","20.796.738,12","138.778,00","149,86","Kanada","Toronto Stock Exchange","CAD"
"ECL","ECOLAB INC","Materialien","Aktien","20.333.993,76","0,06","20.333.993,76","81.702,00","248,88","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"AON","AON PLC CLASS A","Financials","Aktien","20.288.432,84","0,06","20.288.432,84","64.324,00","315,41","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"KEYS","KEYSIGHT TECHNOLOGIES INC","IT","Aktien","20.235.953,50","0,06","20.235.953,50","55.970,00","361,55","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"005380","HYUNDAI MOTOR","Zyklische Konsumgüter ","Aktien","20.214.123,88","0,06","20.214.123,88","42.329,00","477,55","Korea","Korea Exchange (Stock Market)","KRW"
"COHR","COHERENT CORP","IT","Aktien","20.190.308,40","0,06","20.190.308,40","49.860,00","404,94","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"RKLB","ROCKET LAB CORP","Industrie","Aktien","20.182.063,00","0,06","20.182.063,00","152.260,00","132,55","Vereinigte Staaten","NASDAQ","USD"
"DDOG","DATADOG INC CLASS A","IT","Aktien","20.177.103,32","0,06","20.177.103,32","99.473,00","202,84","Vereinigte Staaten","NASDAQ","USD"
"ENI","ENI","Energie","Aktien","20.084.126,92","0,06","20.084.126,92","729.233,00","27,54","Italien","Borsa Italiana","EUR"
"MNST","MONSTER BEVERAGE CORP","Nichtzyklische Konsumgüter","Aktien","20.025.925,36","0,06","20.025.925,36","233.348,00","85,82","Vereinigte Staaten","NASDAQ","USD"
"DBK","DEUTSCHE BANK AG","Financials","Aktien","19.974.563,86","0,06","19.974.563,86","623.915,00","32,02","Deutschland","Xetra","EUR"
"1211","BYD LTD H","Zyklische Konsumgüter ","Aktien","19.837.016,75","0,06","19.837.016,75","1.583.000,00","12,53","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"BKR","BAKER HUGHES CLASS A","Energie","Aktien","19.827.710,63","0,06","19.827.710,63","306.883,00","64,61","Vereinigte Staaten","NASDAQ","USD"
"HOOD","ROBINHOOD MARKETS INC CLASS A","Financials","Aktien","19.786.913,70","0,06","19.786.913,70","245.191,00","80,70","Vereinigte Staaten","NASDAQ","USD"
"WBD","WARNER BROS. DISCOVERY INC SERIES","Kommunikation","Aktien","19.776.473,52","0,06","19.776.473,52","729.221,00","27,12","Vereinigte Staaten","NASDAQ","USD"
"TFC","TRUIST FINANCIAL CORP","Financials","Aktien","19.758.828,33","0,06","19.758.828,33","419.241,00","47,13","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"NWG","NATWEST GROUP PLC","Financials","Aktien","19.564.610,47","0,06","19.564.610,47","2.543.647,00","7,69","Vereinigtes Königreich","London Stock Exchange","GBP"
"NET","CLOUDFLARE INC CLASS A","IT","Aktien","19.506.451,25","0,06","19.506.451,25","97.625,00","199,81","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"TDG","TRANSDIGM GROUP INC","Industrie","Aktien","19.490.609,88","0,06","19.490.609,88","16.534,00","1.178,82","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"CTAS","CINTAS CORP","Industrie","Aktien","19.423.119,90","0,06","19.423.119,90","117.042,00","165,95","Vereinigte Staaten","NASDAQ","USD"
"5802","SUMITOMO ELECTRIC INDUSTRIES LTD","Zyklische Konsumgüter ","Aktien","19.388.513,71","0,06","19.388.513,71","253.300,00","76,54","Japan","Tokyo Stock Exchange","JPY"
"ITX","INDUSTRIA DE DISENO TEXTIL SA","Zyklische Konsumgüter ","Aktien","19.381.469,16","0,06","19.381.469,16","336.860,00","57,54","Spanien","Bolsa De Madrid","EUR"
"SPG","SIMON PROPERTY GROUP REIT INC","Immobilien","Aktien","19.349.350,80","0,06","19.349.350,80","95.411,00","202,80","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"CNR","CANADIAN NATIONAL RAILWAY","Industrie","Aktien","19.164.728,89","0,06","19.164.728,89","170.318,00","112,52","Kanada","Toronto Stock Exchange","CAD"
"RHM","RHEINMETALL AG","Industrie","Aktien","19.114.212,54","0,06","19.114.212,54","14.315,00","1.335,26","Deutschland","Xetra","EUR"
"TER","TERADYNE INC","IT","Aktien","19.115.715,15","0,06","19.115.715,15","53.613,00","356,55","Vereinigte Staaten","NASDAQ","USD"
"TEL","TE CONNECTIVITY PLC","IT","Aktien","19.096.915,86","0,06","19.096.915,86","92.394,00","206,69","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"KKR","KKR AND CO INC","Financials","Aktien","19.067.555,43","0,06","19.067.555,43","191.499,00","99,57","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"MFC","MANULIFE FINANCIAL CORP","Financials","Aktien","19.059.107,10","0,06","19.059.107,10","508.138,00","37,51","Kanada","Toronto Stock Exchange","CAD"
"MQG","MACQUARIE GROUP LTD DEF","Financials","Aktien","19.034.788,19","0,06","19.034.788,19","107.703,00","176,73","Australien","Asx - All Markets","AUD"
"APO","APOLLO GLOBAL MANAGEMENT INC","Financials","Aktien","18.942.172,48","0,06","18.942.172,48","139.774,00","135,52","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"5803","FUJIKURA LTD","Industrie","Aktien","18.830.522,62","0,06","18.830.522,62","468.600,00","40,18","Japan","Tokyo Stock Exchange","JPY"
"PRX","PROSUS NV CLASS N","Zyklische Konsumgüter ","Aktien","18.800.829,92","0,06","18.800.829,92","415.718,00","45,23","Niederlande","Euronext Amsterdam","EUR"
"GWW","WW GRAINGER INC","Industrie","Aktien","18.744.037,24","0,06","18.744.037,24","14.596,00","1.284,19","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"TGT","TARGET CORP","Nichtzyklische Konsumgüter","Aktien","18.705.821,48","0,06","18.705.821,48","151.981,00","123,08","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ENGI","ENGIE SA","Versorger","Aktien","18.626.876,29","0,06","18.626.876,29","583.309,00","31,93","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"AAL","ANGLO AMERICAN PLC","Materialien","Aktien","18.577.353,47","0,06","18.577.353,47","339.080,00","54,79","Vereinigtes Königreich","London Stock Exchange","GBP"
"GLE","SOCIETE GENERALE SA","Financials","Aktien","18.489.788,67","0,06","18.489.788,67","234.662,00","78,79","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"REL","RELX PLC","Industrie","Aktien","18.490.565,61","0,06","18.490.565,61","579.808,00","31,89","Vereinigtes Königreich","London Stock Exchange","GBP"
"ABNB","AIRBNB INC CLASS A","Zyklische Konsumgüter ","Aktien","18.452.876,16","0,06","18.452.876,16","138.048,00","133,67","Vereinigte Staaten","NASDAQ","USD"
"LSEG","LONDON STOCK EXCHANGE GROUP PLC","Financials","Aktien","18.450.404,07","0,06","18.450.404,07","148.531,00","124,22","Vereinigtes Königreich","London Stock Exchange","GBP"
"EL","ESSILORLUXOTTICA SA","Gesundheitsversorgung","Aktien","18.368.015,19","0,06","18.368.015,19","90.797,00","202,30","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"BAS","BASF N","Materialien","Aktien","18.338.937,08","0,06","18.338.937,08","294.084,00","62,36","Deutschland","Xetra","EUR"
"TRGP","TARGA RESOURCES CORP","Energie","Aktien","18.335.754,00","0,06","18.335.754,00","68.550,00","267,48","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"O","REALTY INCOME REIT CORP","Immobilien","Aktien","18.281.298,00","0,06","18.281.298,00","295.050,00","61,96","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"SRE","SEMPRA","Versorger","Aktien","18.249.218,64","0,06","18.249.218,64","196.524,00","92,86","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"DHL","DEUTSCHE POST AG","Industrie","Aktien","18.207.284,83","0,06","18.207.284,83","325.369,00","55,96","Deutschland","Xetra","EUR"
"DASH","DOORDASH INC CLASS A","Zyklische Konsumgüter ","Aktien","18.166.110,40","0,06","18.166.110,40","118.192,00","153,70","Vereinigte Staaten","NASDAQ","USD"
"AFL","AFLAC INC","Financials","Aktien","18.161.495,60","0,06","18.161.495,60","156.040,00","116,39","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"PCAR","PACCAR INC","Industrie","Aktien","18.147.404,20","0,06","18.147.404,20","161.167,00","112,60","Vereinigte Staaten","NASDAQ","USD"
"LHX","L3HARRIS TECHNOLOGIES INC","Industrie","Aktien","18.124.047,54","0,06","18.124.047,54","58.917,00","307,62","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"STAN","STANDARD CHARTERED PLC","Financials","Aktien","18.113.915,48","0,06","18.113.915,48","702.570,00","25,78","Vereinigtes Königreich","London Stock Exchange","GBP"
"DVN","DEVON ENERGY CORP","Energie","Aktien","18.094.526,16","0,06","18.094.526,16","383.034,00","47,24","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"OKE","ONEOK INC","Energie","Aktien","18.076.919,46","0,06","18.076.919,46","198.582,00","91,03","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"3711","ASE TECHNOLOGY HOLDING LTD","IT","Aktien","18.027.713,28","0,06","18.027.713,28","1.036.758,00","17,39","Taiwan","Taiwan Stock Exchange","TWD"
"6981","MURATA MANUFACTURING LTD","IT","Aktien","18.017.518,73","0,06","18.017.518,73","449.500,00","40,08","Japan","Tokyo Stock Exchange","JPY"
"WES","WESFARMERS LTD","Zyklische Konsumgüter ","Aktien","17.946.753,04","0,05","17.946.753,04","346.176,00","51,84","Australien","Asx - All Markets","AUD"
"2318","PING AN INSURANCE (GROUP) CO OF CH","Financials","Aktien","17.795.630,97","0,05","17.795.630,97","2.195.000,00","8,11","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"RMS","HERMES INTERNATIONAL","Zyklische Konsumgüter ","Aktien","17.750.340,70","0,05","17.750.340,70","9.537,00","1.861,22","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"ROK","ROCKWELL AUTOMATION INC","Industrie","Aktien","17.729.274,36","0,05","17.729.274,36","38.834,00","456,54","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"DB1","DEUTSCHE BOERSE AG","Financials","Aktien","17.703.605,86","0,05","17.703.605,86","62.324,00","284,06","Deutschland","Xetra","EUR"
"AZO","AUTOZONE INC","Zyklische Konsumgüter ","Aktien","17.698.546,24","0,05","17.698.546,24","5.237,00","3.379,52","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"JPY","JPY CASH","Cash und/oder Derivate","Geldmarkt","17.621.996,17","0,05","17.621.996,17","2.786.830.584,00","0,63","Japan","-","JPY"
"EUR","EUR CASH","Cash und/oder Derivate","Geldmarkt","17.536.842,48","0,05","17.536.842,48","15.014.420,00","116,80","Europäische Union","-","EUR"
"7741","HOYA CORP","Gesundheitsversorgung","Aktien","17.531.594,42","0,05","17.531.594,42","100.200,00","174,97","Japan","Tokyo Stock Exchange","JPY"
"CARR","CARRIER GLOBAL CORP","Industrie","Aktien","17.509.818,54","0,05","17.509.818,54","262.398,00","66,73","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"1398","INDUSTRIAL AND COMMERCIAL BANK OF","Financials","Aktien","17.494.836,83","0,05","17.494.836,83","19.464.000,00","0,90","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"CPG","COMPASS GROUP PLC","Zyklische Konsumgüter ","Aktien","17.434.687,17","0,05","17.434.687,17","523.407,00","33,31","Vereinigtes Königreich","London Stock Exchange","USD"
"CABK","CAIXABANK SA","Financials","Aktien","17.403.764,29","0,05","17.403.764,29","1.357.675,00","12,82","Spanien","Bolsa De Madrid","EUR"
"WAB","WESTINGHOUSE AIR BRAKE TECHNOLOGIE","Industrie","Aktien","17.293.095,12","0,05","17.293.095,12","64.184,00","269,43","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"CTVA","CORTEVA INC","Materialien","Aktien","17.076.999,80","0,05","17.076.999,80","205.006,00","83,30","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"VOLV B","VOLVO CLASS B","Industrie","Aktien","17.068.966,98","0,05","17.068.966,98","501.468,00","34,04","Schweden","Nasdaq Omx Nordic","SEK"
"EBAY","EBAY INC","Zyklische Konsumgüter ","Aktien","17.040.921,40","0,05","17.040.921,40","150.485,00","113,24","Vereinigte Staaten","NASDAQ","USD"
"F","FORD MOTOR CO","Zyklische Konsumgüter ","Aktien","17.043.046,88","0,05","17.043.046,88","1.177.006,00","14,48","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ALL","ALLSTATE CORP","Financials","Aktien","16.935.048,00","0,05","16.935.048,00","78.240,00","216,45","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ARGX","ARGENX","Gesundheitsversorgung","Aktien","16.906.524,59","0,05","16.906.524,59","20.851,00","810,83","Belgien","Nyse Euronext - Euronext Brussels","EUR"
"9433","KDDI CORP","Kommunikation","Aktien","16.908.984,79","0,05","16.908.984,79","1.010.800,00","16,73","Japan","Tokyo Stock Exchange","JPY"
"8002","MARUBENI CORP","Industrie","Aktien","16.652.167,31","0,05","16.652.167,31","446.500,00","37,29","Japan","Tokyo Stock Exchange","JPY"
"LNG","CHENIERE ENERGY INC","Energie","Aktien","16.571.115,96","0,05","16.571.115,96","68.737,00","241,08","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ATCO A","ATLAS COPCO CLASS A","Industrie","Aktien","16.546.038,66","0,05","16.546.038,66","886.107,00","18,67","Schweden","Nasdaq Omx Nordic","SEK"
"2914","JAPAN TOBACCO INC","Nichtzyklische Konsumgüter","Aktien","16.518.358,47","0,05","16.518.358,47","417.700,00","39,55","Japan","Tokyo Stock Exchange","JPY"
"LR","LEGRAND SA","Industrie","Aktien","16.507.801,86","0,05","16.507.801,86","91.360,00","180,69","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"ASSA B","ASSA ABLOY B","Industrie","Aktien","16.496.156,92","0,05","16.496.156,92","453.948,00","36,34","Schweden","Nasdaq Omx Nordic","SEK"
"ADSK","AUTODESK INC","IT","Aktien","16.462.808,56","0,05","16.462.808,56","70.396,00","233,86","Vereinigte Staaten","NASDAQ","USD"
"NDA FI","NORDEA BANK","Financials","Aktien","16.385.730,49","0,05","16.385.730,49","908.312,00","18,04","Finnland","Nasdaq Omx Helsinki Ltd.","EUR"
"EA","ELECTRONIC ARTS INC","Kommunikation","Aktien","16.318.796,06","0,05","16.318.796,06","81.277,00","200,78","Vereinigte Staaten","NASDAQ","USD"
"ANG","ANGLOGOLD ASHANTI PLC","Materialien","Aktien","16.224.944,70","0,05","16.224.944,70","159.950,00","101,44","Südafrika","Johannesburg Stock Exchange","ZAR"
"NUE","NUCOR CORP","Materialien","Aktien","16.187.033,45","0,05","16.187.033,45","69.517,00","232,85","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"EW","EDWARDS LIFESCIENCES CORP","Gesundheitsversorgung","Aktien","16.177.875,28","0,05","16.177.875,28","198.892,00","81,34","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"NKE","NIKE INC CLASS B","Zyklische Konsumgüter ","Aktien","16.139.839,98","0,05","16.139.839,98","384.099,00","42,02","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ON","ON SEMICONDUCTOR CORP","IT","Aktien","16.126.847,17","0,05","16.126.847,17","136.241,00","118,37","Vereinigte Staaten","NASDAQ","USD"
"3690","MEITUAN","Zyklische Konsumgüter ","Aktien","16.121.981,51","0,05","16.121.981,51","1.473.440,00","10,94","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"O39","OVERSEA-CHINESE BANKING LTD","Financials","Aktien","16.082.014,67","0,05","16.082.014,67","893.200,00","18,00","Singapur","Singapore Exchange","SGD"
"HOLN","HOLCIM LTD AG","Materialien","Aktien","15.995.852,73","0,05","15.995.852,73","164.248,00","97,39","Schweiz","SIX Swiss Exchange","CHF"
"MSTR","STRATEGY INC CLASS A","IT","Aktien","15.825.327,77","0,05","15.825.327,77","84.641,00","186,97","Vereinigte Staaten","NASDAQ","USD"
"MCHP","MICROCHIP TECHNOLOGY INC","IT","Aktien","15.704.856,56","0,05","15.704.856,56","161.839,00","97,04","Vereinigte Staaten","NASDAQ","USD"
"DSV","DSV","Industrie","Aktien","15.634.283,87","0,05","15.634.283,87","62.851,00","248,75","Dänemark","Omx Nordic Exchange Copenhagen A/S","DKK"
"RIO","RIO TINTO LTD","Materialien","Aktien","15.626.720,25","0,05","15.626.720,25","112.628,00","138,75","Australien","Asx - All Markets","AUD"
"AJG","ARTHUR J GALLAGHER","Financials","Aktien","15.598.928,80","0,05","15.598.928,80","78.910,00","197,68","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"NPN","NASPERS LIMITED LTD CLASS N","Zyklische Konsumgüter ","Aktien","15.584.751,81","0,05","15.584.751,81","300.470,00","51,87","Südafrika","Johannesburg Stock Exchange","ZAR"
"D","DOMINION ENERGY INC","Versorger","Aktien","15.545.466,87","0,05","15.545.466,87","246.871,00","62,97","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"SNOW","SNOWFLAKE INC","IT","Aktien","15.517.123,76","0,05","15.517.123,76","102.926,00","150,76","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"2303","UNITED MICRO ELECTRONICS CORP","IT","Aktien","15.287.577,34","0,05","15.287.577,34","4.461.000,00","3,43","Taiwan","Taiwan Stock Exchange","TWD"
"VST","VISTRA CORP","Versorger","Aktien","15.214.092,30","0,05","15.214.092,30","107.217,00","141,90","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"388","HONG KONG EXCHANGES AND CLEARING L","Financials","Aktien","15.208.313,01","0,05","15.208.313,01","281.203,00","54,08","Hongkong","Hong Kong Exchanges And Clearing Ltd","HKD"
"3988","BANK OF CHINA LTD H","Financials","Aktien","15.189.737,50","0,05","15.189.737,50","22.490.000,00","0,68","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"CCO","CAMECO CORP","Energie","Aktien","15.149.759,88","0,05","15.149.759,88","134.820,00","112,37","Kanada","Toronto Stock Exchange","CAD"
"GMG","GOODMAN GROUP UNITS","Immobilien","Aktien","15.122.947,48","0,05","15.122.947,48","666.375,00","22,69","Australien","Asx - All Markets","AUD"
"COR","CENCORA INC","Gesundheitsversorgung","Aktien","15.108.346,82","0,05","15.108.346,82","57.862,00","261,11","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"FERG","FERGUSON ENTERPRISES INC","Industrie","Aktien","15.056.568,00","0,05","15.056.568,00","64.899,00","232,00","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"FAST","FASTENAL","Industrie","Aktien","15.049.912,02","0,05","15.049.912,02","342.199,00","43,98","Vereinigte Staaten","NASDAQ","USD"
"MSCI","MSCI INC","Financials","Aktien","15.031.270,65","0,05","15.031.270,65","26.385,00","569,69","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"CAH","CARDINAL HEALTH INC","Gesundheitsversorgung","Aktien","15.029.072,84","0,05","15.029.072,84","77.318,00","194,38","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"STMPA","STMICROELECTRONICS NV","IT","Aktien","14.976.092,68","0,05","14.976.092,68","232.451,00","64,43","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"SGO","COMPAGNIE DE SAINT GOBAIN SA","Industrie","Aktien","14.977.166,59","0,05","14.977.166,59","167.401,00","89,47","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"7974","NINTENDO LTD","Kommunikation","Aktien","14.913.341,55","0,05","14.913.341,55","343.600,00","43,40","Japan","Tokyo Stock Exchange","JPY"
"6752","PANASONIC HOLDINGS CORP","Zyklische Konsumgüter ","Aktien","14.853.717,79","0,05","14.853.717,79","695.600,00","21,35","Japan","Tokyo Stock Exchange","JPY"
"4502","TAKEDA PHARMACEUTICAL LTD","Gesundheitsversorgung","Aktien","14.831.960,39","0,05","14.831.960,39","446.271,00","33,24","Japan","Tokyo Stock Exchange","JPY"
"DGE","DIAGEO PLC","Nichtzyklische Konsumgüter","Aktien","14.819.108,16","0,05","14.819.108,16","732.649,00","20,23","Vereinigtes Königreich","London Stock Exchange","GBP"
"9999","NETEASE INC","Kommunikation","Aktien","14.810.877,00","0,05","14.810.877,00","631.490,00","23,45","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"MET","METLIFE INC","Financials","Aktien","14.736.585,70","0,05","14.736.585,70","186.115,00","79,18","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"XEL","XCEL ENERGY INC","Versorger","Aktien","14.716.076,46","0,04","14.716.076,46","183.882,00","80,03","Vereinigte Staaten","NASDAQ","USD"
"LONN","LONZA GROUP AG","Gesundheitsversorgung","Aktien","14.687.149,74","0,04","14.687.149,74","24.253,00","605,58","Schweiz","SIX Swiss Exchange","CHF"
"AME","AMETEK INC","Industrie","Aktien","14.606.248,80","0,04","14.606.248,80","62.920,00","232,14","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"JBL","JABIL INC","IT","Aktien","14.557.704,56","0,04","14.557.704,56","41.084,00","354,34","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ASM","ASM INTERNATIONAL NV","IT","Aktien","14.557.986,57","0,04","14.557.986,57","13.852,00","1.050,97","Niederlande","Euronext Amsterdam","EUR"
"RSG","REPUBLIC SERVICES INC","Industrie","Aktien","14.469.036,48","0,04","14.469.036,48","69.336,00","208,68","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"009150","SAMSUNG ELECTRO MECHANICS LTD","IT","Aktien","14.451.864,92","0,04","14.451.864,92","21.042,00","686,81","Korea","Korea Exchange (Stock Market)","KRW"
"TTWO","TAKE TWO INTERACTIVE SOFTWARE INC","Kommunikation","Aktien","14.363.034,91","0,04","14.363.034,91","59.251,00","242,41","Vereinigte Staaten","NASDAQ","USD"
"AIG","AMERICAN INTERNATIONAL GROUP INC","Financials","Aktien","14.327.966,08","0,04","14.327.966,08","189.248,00","75,71","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"BN","DANONE SA","Nichtzyklische Konsumgüter","Aktien","14.296.381,46","0,04","14.296.381,46","197.867,00","72,25","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"BAYN","BAYER AG","Gesundheitsversorgung","Aktien","14.285.497,22","0,04","14.285.497,22","320.344,00","44,59","Deutschland","Xetra","EUR"
"G","ASSICURAZIONI GENERALI","Financials","Aktien","14.254.502,20","0,04","14.254.502,20","311.411,00","45,77","Italien","Borsa Italiana","EUR"
"KR","KROGER","Nichtzyklische Konsumgüter","Aktien","14.248.110,33","0,04","14.248.110,33","213.327,00","66,79","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"EOAN","E.ON N","Versorger","Aktien","14.235.775,58","0,04","14.235.775,58","661.681,00","21,51","Deutschland","Xetra","EUR"
"ATD","ALIMENTATION COUCHE TARD INC","Nichtzyklische Konsumgüter","Aktien","14.191.986,05","0,04","14.191.986,05","245.667,00","57,77","Kanada","Toronto Stock Exchange","CAD"
"HPE","HEWLETT PACKARD ENTERPRISE","IT","Aktien","14.181.970,64","0,04","14.181.970,64","415.528,00","34,13","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"EXC","EXELON CORP","Versorger","Aktien","14.164.665,60","0,04","14.164.665,60","319.024,00","44,40","Vereinigte Staaten","NASDAQ","USD"
"SREN","SWISS RE AG","Financials","Aktien","14.135.692,10","0,04","14.135.692,10","92.666,00","152,54","Schweiz","SIX Swiss Exchange","CHF"
"FNV","FRANCO NEVADA CORP","Materialien","Aktien","14.108.826,34","0,04","14.108.826,34","59.300,00","237,92","Kanada","Toronto Stock Exchange","CAD"
"9434","SOFTBANK CORP","Kommunikation","Aktien","14.064.120,08","0,04","14.064.120,08","10.023.300,00","1,40","Japan","Tokyo Stock Exchange","JPY"
"IDXX","IDEXX LABORATORIES INC","Gesundheitsversorgung","Aktien","14.048.321,04","0,04","14.048.321,04","26.364,00","532,86","Vereinigte Staaten","NASDAQ","USD"
"CVNA","CARVANA CLASS A","Zyklische Konsumgüter ","Aktien","13.984.221,25","0,04","13.984.221,25","201.125,00","69,53","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"CMG","CHIPOTLE MEXICAN GRILL INC","Zyklische Konsumgüter ","Aktien","13.929.723,47","0,04","13.929.723,47","434.083,00","32,09","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ADM","ARCHER DANIELS MIDLAND","Nichtzyklische Konsumgüter","Aktien","13.923.063,84","0,04","13.923.063,84","171.024,00","81,41","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"NBIS","NEBIUS NV CLASS A","IT","Aktien","13.892.864,15","0,04","13.892.864,15","62.821,00","221,15","Niederlande","NASDAQ","USD"
"ACS","ACS ACTIVIDADES DE CONSTRUCCION Y","Industrie","Aktien","13.884.794,82","0,04","13.884.794,82","86.708,00","160,13","Spanien","Bolsa De Madrid","EUR"
"WDS","WOODSIDE ENERGY GROUP LTD","Energie","Aktien","13.881.067,90","0,04","13.881.067,90","627.234,00","22,13","Australien","Asx - All Markets","AUD"
"CBRE","CBRE GROUP INC CLASS A","Immobilien","Aktien","13.859.568,00","0,04","13.859.568,00","104.640,00","132,45","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"PSA","PUBLIC STORAGE REIT","Immobilien","Aktien","13.850.592,21","0,04","13.850.592,21","45.707,00","303,03","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"2345","ACCTON TECHNOLOGY CORP","IT","Aktien","13.835.475,17","0,04","13.835.475,17","163.000,00","84,88","Taiwan","Taiwan Stock Exchange","TWD"
"8591","ORIX CORP","Financials","Aktien","13.810.198,24","0,04","13.810.198,24","377.400,00","36,59","Japan","Tokyo Stock Exchange","JPY"
"ETR","ENTERGY CORP","Versorger","Aktien","13.797.170,30","0,04","13.797.170,30","122.207,00","112,90","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"2383","ELITE MATERIAL LTD","IT","Aktien","13.773.033,79","0,04","13.773.033,79","88.223,00","156,12","Taiwan","Taiwan Stock Exchange","TWD"
"COIN","COINBASE GLOBAL INC CLASS A","Financials","Aktien","13.760.297,04","0,04","13.760.297,04","64.904,00","212,01","Vereinigte Staaten","NASDAQ","USD"
"PYPL","PAYPAL HOLDINGS INC","Financials","Aktien","13.730.849,36","0,04","13.730.849,36","304.859,00","45,04","Vereinigte Staaten","NASDAQ","USD"
"IRM","IRON MOUNTAIN INC","Immobilien","Aktien","13.683.558,00","0,04","13.683.558,00","107.112,00","127,75","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"AMP","AMERIPRISE FINANCE INC","Financials","Aktien","13.617.881,96","0,04","13.617.881,96","28.849,00","472,04","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
