Fondsposition per,"31.Dez.2025"
 
Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung
"7741","HOYA CORP","Gesundheitsversorgung","Aktien","12.723.066,13","0,05","12.723.066,13","84.200,00","151,11","Japan","Tokyo Stock Exchange","JPY"
"RSG","REPUBLIC SERVICES INC","Industrie","Aktien","12.721.945,97","0,05","12.721.945,97","60.029,00","211,93","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"COIN","COINBASE GLOBAL INC CLASS A","Financials","Aktien","12.708.841,86","0,05","12.708.841,86","56.199,00","226,14","Vereinigte Staaten","NASDAQ","USD"
"MET","METLIFE INC","Financials","Aktien","12.695.604,44","0,05","12.695.604,44","160.826,00","78,94","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"RBLX","ROBLOX CORP CLASS A","Kommunikation","Aktien","12.682.005,30","0,05","12.682.005,30","156.510,00","81,03","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"EXPN","EXPERIAN PLC","Industrie","Aktien","12.664.307,50","0,05","12.664.307,50","279.973,00","45,23","Vereinigtes Königreich","London Stock Exchange","GBP"
"TRGP","TARGA RESOURCES CORP","Energie","Aktien","12.612.973,50","0,05","12.612.973,50","68.363,00","184,50","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"OKE","ONEOK INC","Energie","Aktien","12.601.354,50","0,05","12.601.354,50","171.447,00","73,50","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"MPWR","MONOLITHIC POWER SYSTEMS INC","IT","Aktien","12.552.179,64","0,05","12.552.179,64","13.849,00","906,36","Vereinigte Staaten","NASDAQ","USD"
"FERG","FERGUSON ENTERPRISES INC","Industrie","Aktien","12.510.470,22","0,05","12.510.470,22","56.194,00","222,63","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"D","DOMINION ENERGY INC","Versorger","Aktien","12.487.286,70","0,05","12.487.286,70","213.130,00","58,59","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ROP","ROPER TECHNOLOGIES INC","IT","Aktien","12.361.705,23","0,05","12.361.705,23","27.771,00","445,13","Vereinigte Staaten","NASDAQ","USD"
"AAL","ANGLO AMERICAN PLC","Materialien","Aktien","12.290.176,61","0,05","12.290.176,61","296.186,00","41,49","Vereinigtes Königreich","London Stock Exchange","GBP"
"BAYN","BAYER AG","Gesundheitsversorgung","Aktien","12.159.680,39","0,05","12.159.680,39","279.749,00","43,47","Deutschland","Xetra","EUR"
"ENI","ENI","Energie","Aktien","12.077.783,71","0,05","12.077.783,71","637.161,00","18,96","Italien","Borsa Italiana","EUR"
"BKR","BAKER HUGHES CLASS A","Energie","Aktien","12.070.513,62","0,05","12.070.513,62","265.053,00","45,54","Vereinigte Staaten","NASDAQ","USD"
"ENGI","ENGIE SA","Versorger","Aktien","12.062.981,83","0,05","12.062.981,83","458.330,00","26,32","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"EXC","EXELON CORP","Versorger","Aktien","12.004.075,74","0,05","12.004.075,74","275.386,00","43,59","Vereinigte Staaten","NASDAQ","USD"
"1211","BYD LTD H","Zyklische Konsumgüter ","Aktien","11.999.142,42","0,05","11.999.142,42","979.500,00","12,25","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"CARR","CARRIER GLOBAL CORP","Industrie","Aktien","11.975.868,96","0,05","11.975.868,96","226.644,00","52,84","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"LR","LEGRAND SA","Industrie","Aktien","11.938.863,84","0,05","11.938.863,84","79.886,00","149,45","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"RACE","FERRARI NV","Zyklische Konsumgüter ","Aktien","11.922.489,19","0,05","11.922.489,19","31.853,00","374,30","Italien","Borsa Italiana","EUR"
"4502","TAKEDA PHARMACEUTICAL LTD","Gesundheitsversorgung","Aktien","11.908.853,78","0,05","11.908.853,78","386.071,00","30,85","Japan","Tokyo Stock Exchange","JPY"
"CTVA","CORTEVA INC","Materialien","Aktien","11.867.795,56","0,05","11.867.795,56","177.052,00","67,03","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"FAST","FASTENAL","Industrie","Aktien","11.852.997,45","0,05","11.852.997,45","295.365,00","40,13","Vereinigte Staaten","NASDAQ","USD"
"9434","SOFTBANK CORP","Kommunikation","Aktien","11.851.582,63","0,05","11.851.582,63","8.648.400,00","1,37","Japan","Tokyo Stock Exchange","JPY"
"WAB","WESTINGHOUSE AIR BRAKE TECHNOLOGIE","Industrie","Aktien","11.844.553,95","0,05","11.844.553,95","55.491,00","213,45","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"DOL","DOLLARAMA INC","Zyklische Konsumgüter ","Aktien","11.829.353,39","0,05","11.829.353,39","79.044,00","149,66","Kanada","Toronto Stock Exchange","CAD"
"HLN","HALEON PLC","Gesundheitsversorgung","Aktien","11.798.132,12","0,05","11.798.132,12","2.340.320,00","5,04","Vereinigtes Königreich","London Stock Exchange","GBP"
"PRU","PRUDENTIAL FINANCIAL INC","Financials","Aktien","11.773.384,00","0,05","11.773.384,00","104.300,00","112,88","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ATD","ALIMENTATION COUCHE TARD INC","Nichtzyklische Konsumgüter","Aktien","11.732.860,05","0,05","11.732.860,05","214.552,00","54,69","Kanada","Toronto Stock Exchange","CAD"
"XEL","XCEL ENERGY INC","Versorger","Aktien","11.733.695,04","0,05","11.733.695,04","158.864,00","73,86","Vereinigte Staaten","NASDAQ","USD"
"DDOG","DATADOG INC CLASS A","IT","Aktien","11.685.620,70","0,05","11.685.620,70","85.930,00","135,99","Vereinigte Staaten","NASDAQ","USD"
"NDAQ","NASDAQ INC","Financials","Aktien","11.616.942,26","0,04","11.616.942,26","119.602,00","97,13","Vereinigte Staaten","NASDAQ","USD"
"TSCO","TESCO PLC","Nichtzyklische Konsumgüter","Aktien","11.572.040,35","0,04","11.572.040,35","1.947.358,00","5,94","Vereinigtes Königreich","London Stock Exchange","GBP"
"KR","KROGER","Nichtzyklische Konsumgüter","Aktien","11.518.812,80","0,04","11.518.812,80","184.360,00","62,48","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"YUM","YUM BRANDS INC","Zyklische Konsumgüter ","Aktien","11.515.433,60","0,04","11.515.433,60","76.120,00","151,28","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"HIG","HARTFORD INSURANCE GROUP INC","Financials","Aktien","11.451.455,60","0,04","11.451.455,60","83.102,00","137,80","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"FFH","FAIRFAX FINANCIAL HOLDINGS SUB VOT","Financials","Aktien","11.438.734,02","0,04","11.438.734,02","5.994,00","1.908,36","Kanada","Toronto Stock Exchange","CAD"
"G","ASSICURAZIONI GENERALI","Financials","Aktien","11.424.802,38","0,04","11.424.802,38","272.106,00","41,99","Italien","Borsa Italiana","EUR"
"CTSH","COGNIZANT TECHNOLOGY SOLUTIONS COR","IT","Aktien","11.405.279,00","0,04","11.405.279,00","137.413,00","83,00","Vereinigte Staaten","NASDAQ","USD"
"AXON","AXON ENTERPRISE INC","Industrie","Aktien","11.385.860,64","0,04","11.385.860,64","20.048,00","567,93","Vereinigte Staaten","NASDAQ","USD"
"ADYEN","ADYEN NV","Financials","Aktien","11.378.365,21","0,04","11.378.365,21","7.046,00","1.614,87","Niederlande","Euronext Amsterdam","EUR"
"EBAY","EBAY INC","Zyklische Konsumgüter ","Aktien","11.317.774,00","0,04","11.317.774,00","129.940,00","87,10","Vereinigte Staaten","NASDAQ","USD"
"PRU","PRUDENTIAL PLC","Financials","Aktien","11.283.257,52","0,04","11.283.257,52","732.960,00","15,39","Vereinigtes Königreich","London Stock Exchange","GBP"
"AME","AMETEK INC","Industrie","Aktien","11.192.679,96","0,04","11.192.679,96","54.516,00","205,31","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ARES","ARES MANAGEMENT CORP CLASS A","Financials","Aktien","11.149.075,77","0,04","11.149.075,77","68.979,00","161,63","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"MSTR","STRATEGY INC CLASS A","IT","Aktien","11.128.666,05","0,04","11.128.666,05","73.239,00","151,95","Vereinigte Staaten","NASDAQ","USD"
"FICO","FAIR ISAAC CORP","IT","Aktien","11.107.373,40","0,04","11.107.373,40","6.570,00","1.690,62","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"9888","BAIDU CLASS A INC","Kommunikation","Aktien","10.990.281,24","0,04","10.990.281,24","650.516,00","16,89","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"DHI","D R HORTON INC","Zyklische Konsumgüter ","Aktien","10.966.300,17","0,04","10.966.300,17","76.139,00","144,03","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"EOAN","E.ON N","Versorger","Aktien","10.942.304,26","0,04","10.942.304,26","577.796,00","18,94","Deutschland","Xetra","EUR"
"DELL","DELL TECHNOLOGIES INC CLASS C","IT","Aktien","10.911.404,28","0,04","10.911.404,28","86.681,00","125,88","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"CCO","CAMECO CORP","Energie","Aktien","10.809.167,65","0,04","10.809.167,65","117.892,00","91,69","Kanada","Toronto Stock Exchange","CAD"
"FISV","FISERV INC","Financials","Aktien","10.751.364,54","0,04","10.751.364,54","160.062,00","67,17","Vereinigte Staaten","NASDAQ","USD"
"FNV","FRANCO NEVADA CORP","Materialien","Aktien","10.741.329,21","0,04","10.741.329,21","51.751,00","207,56","Kanada","Toronto Stock Exchange","CAD"
"IQV","IQVIA HOLDINGS INC","Gesundheitsversorgung","Aktien","10.733.347,97","0,04","10.733.347,97","47.617,00","225,41","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"8002","MARUBENI CORP","Industrie","Aktien","10.728.022,58","0,04","10.728.022,58","386.300,00","27,77","Japan","Tokyo Stock Exchange","JPY"
"MLM","MARTIN MARIETTA MATERIALS INC","Materialien","Aktien","10.711.619,98","0,04","10.711.619,98","17.203,00","622,66","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"DANSKE","DANSKE BANK","Financials","Aktien","10.682.638,56","0,04","10.682.638,56","213.237,00","50,10","Dänemark","Omx Nordic Exchange Copenhagen A/S","DKK"
"VMC","VULCAN MATERIALS","Materialien","Aktien","10.645.551,28","0,04","10.645.551,28","37.324,00","285,22","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"7267","HONDA MOTOR LTD","Zyklische Konsumgüter ","Aktien","10.633.280,81","0,04","10.633.280,81","1.085.100,00","9,80","Japan","Tokyo Stock Exchange","JPY"
"A","AGILENT TECHNOLOGIES INC","Gesundheitsversorgung","Aktien","10.617.542,10","0,04","10.617.542,10","78.030,00","136,07","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ASSA B","ASSA ABLOY B","Industrie","Aktien","10.614.155,66","0,04","10.614.155,66","272.638,00","38,93","Schweden","Nasdaq Omx Nordic","SEK"
"FLUT","FLUTTER ENTERTAINMENT PLC","Zyklische Konsumgüter ","Aktien","10.455.674,88","0,04","10.455.674,88","48.622,00","215,04","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"GMG","GOODMAN GROUP UNITS","Immobilien","Aktien","10.417.080,06","0,04","10.417.080,06","504.239,00","20,66","Australien","Asx - All Markets","AUD"
"AD","KONINKLIJKE AHOLD DELHAIZE NV","Nichtzyklische Konsumgüter","Aktien","10.326.603,65","0,04","10.326.603,65","252.157,00","40,95","Niederlande","Euronext Amsterdam","EUR"
"SYY","SYSCO CORP","Nichtzyklische Konsumgüter","Aktien","10.324.853,28","0,04","10.324.853,28","140.112,00","73,69","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"SSE","SSE PLC","Versorger","Aktien","10.325.726,78","0,04","10.325.726,78","352.310,00","29,31","Vereinigtes Königreich","London Stock Exchange","GBP"
"III","3I GROUP PLC","Financials","Aktien","10.302.762,85","0,04","10.302.762,85","234.746,00","43,89","Vereinigtes Königreich","London Stock Exchange","GBP"
"PSA","PUBLIC STORAGE REIT","Immobilien","Aktien","10.301.890,50","0,04","10.301.890,50","39.699,00","259,50","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ALC","ALCON AG","Gesundheitsversorgung","Aktien","10.296.848,12","0,04","10.296.848,12","128.914,00","79,87","Schweiz","SIX Swiss Exchange","CHF"
"PAYX","PAYCHEX INC","Industrie","Aktien","10.280.063,02","0,04","10.280.063,02","91.639,00","112,18","Vereinigte Staaten","NASDAQ","USD"
"RMD","RESMED INC","Gesundheitsversorgung","Aktien","10.264.193,31","0,04","10.264.193,31","42.613,00","240,87","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"PEG","PUBLIC SERVICE ENTERPRISE GROUP IN","Versorger","Aktien","10.264.668,70","0,04","10.264.668,70","127.829,00","80,30","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"NOKIA","NOKIA","IT","Aktien","10.188.055,34","0,04","10.188.055,34","1.556.846,00","6,54","Finnland","Nasdaq Omx Helsinki Ltd.","EUR"
"CCI","CROWN CASTLE INC","Immobilien","Aktien","10.112.428,43","0,04","10.112.428,43","113.789,00","88,87","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"OTIS","OTIS WORLDWIDE CORP","Industrie","Aktien","10.033.719,80","0,04","10.033.719,80","114.868,00","87,35","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"4519","CHUGAI PHARMACEUTICAL LTD","Gesundheitsversorgung","Aktien","10.012.869,31","0,04","10.012.869,31","190.400,00","52,59","Japan","Tokyo Stock Exchange","JPY"
"3711","ASE TECHNOLOGY HOLDING LTD","IT","Aktien","10.013.462,55","0,04","10.013.462,55","1.256.000,00","7,97","Taiwan","Taiwan Stock Exchange","TWD"
"INSM","INSMED INC","Gesundheitsversorgung","Aktien","9.981.542,08","0,04","9.981.542,08","57.352,00","174,04","Vereinigte Staaten","NASDAQ","USD"
"FITB","FIFTH THIRD BANCORP","Financials","Aktien","9.962.010,58","0,04","9.962.010,58","212.818,00","46,81","Vereinigte Staaten","NASDAQ","USD"
"9432","NTT INC","Kommunikation","Aktien","9.941.805,61","0,04","9.941.805,61","9.881.600,00","1,01","Japan","Tokyo Stock Exchange","JPY"
"IFC","INTACT FINANCIAL CORP","Financials","Aktien","9.933.794,55","0,04","9.933.794,55","47.656,00","208,45","Kanada","Toronto Stock Exchange","CAD"
"FIS","FIDELITY NATIONAL INFORMATION SERV","Financials","Aktien","9.862.065,86","0,04","9.862.065,86","148.391,00","66,46","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"KEYS","KEYSIGHT TECHNOLOGIES INC","IT","Aktien","9.848.416,11","0,04","9.848.416,11","48.469,00","203,19","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"NUE","NUCOR CORP","Materialien","Aktien","9.820.853,10","0,04","9.820.853,10","60.210,00","163,11","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"EXPE","EXPEDIA GROUP INC","Zyklische Konsumgüter ","Aktien","9.814.708,33","0,04","9.814.708,33","34.643,00","283,31","Vereinigte Staaten","NASDAQ","USD"
"BBCA","BANK CENTRAL ASIA","Financials","Aktien","9.791.500,45","0,04","9.791.500,45","20.219.600,00","0,48","Indonesien","Indonesia Stock Exchange","IDR"
"005380","HYUNDAI MOTOR","Zyklische Konsumgüter ","Aktien","9.768.620,67","0,04","9.768.620,67","47.461,00","205,82","Korea","Korea Exchange (Stock Market)","KRW"
"ETR","ENTERGY CORP","Versorger","Aktien","9.746.928,36","0,04","9.746.928,36","105.452,00","92,43","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"HEI","HEIDELBERG MATERIALS AG","Materialien","Aktien","9.747.743,56","0,04","9.747.743,56","37.219,00","261,90","Deutschland","Xetra","EUR"
"U11","UNITED OVERSEAS BANK LTD","Financials","Aktien","9.718.790,12","0,04","9.718.790,12","356.485,00","27,26","Singapur","Singapore Exchange","SGD"
"2891","CTBC FINANCIAL HOLDING LTD","Financials","Aktien","9.701.335,93","0,04","9.701.335,93","6.072.128,00","1,60","Taiwan","Taiwan Stock Exchange","TWD"
"RIO","RIO TINTO LTD","Materialien","Aktien","9.637.271,56","0,04","9.637.271,56","98.433,00","97,91","Australien","Asx - All Markets","AUD"
"105560","KB FINANCIAL GROUP INC","Financials","Aktien","9.582.565,89","0,04","9.582.565,89","110.699,00","86,56","Korea","Korea Exchange (Stock Market)","KRW"
"CPRT","COPART INC","Industrie","Aktien","9.579.613,50","0,04","9.579.613,50","244.690,00","39,15","Vereinigte Staaten","NASDAQ","USD"
"4568","DAIICHI SANKYO LTD","Gesundheitsversorgung","Aktien","9.575.478,64","0,04","9.575.478,64","448.300,00","21,36","Japan","Tokyo Stock Exchange","JPY"
"RJF","RAYMOND JAMES INC","Financials","Aktien","9.564.419,22","0,04","9.564.419,22","59.558,00","160,59","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"IMB","IMPERIAL BRANDS PLC","Nichtzyklische Konsumgüter","Aktien","9.550.104,06","0,04","9.550.104,06","227.643,00","41,95","Vereinigtes Königreich","London Stock Exchange","GBP"
"2882","CATHAY FINANCIAL HOLDING LTD","Financials","Aktien","9.544.363,62","0,04","9.544.363,62","3.956.315,00","2,41","Taiwan","Taiwan Stock Exchange","TWD"
"EBS","ERSTE GROUP BANK AG","Financials","Aktien","9.543.112,56","0,04","9.543.112,56","78.966,00","120,85","Österreich","Wiener Boerse Ag","EUR"
"PKO","POWSZECHNA KASA OSZCZEDNOSCI BANK","Financials","Aktien","9.536.844,60","0,04","9.536.844,60","402.617,00","23,69","Polen","Warsaw Stock Exchange/Equities/Main Market","PLN"
"KBC","KBC GROEP","Financials","Aktien","9.509.780,03","0,04","9.509.780,03","72.784,00","130,66","Belgien","Nyse Euronext - Euronext Brussels","EUR"
"KMB","KIMBERLY CLARK CORP","Nichtzyklische Konsumgüter","Aktien","9.402.443,55","0,04","9.402.443,55","93.195,00","100,89","Vereinigte Staaten","NASDAQ","USD"
"ED","CONSOLIDATED EDISON INC","Versorger","Aktien","9.393.089,68","0,04","9.393.089,68","94.574,00","99,32","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"SLF","SUN LIFE FINANCIAL INC","Financials","Aktien","9.345.573,74","0,04","9.345.573,74","149.515,00","62,51","Kanada","Toronto Stock Exchange","CAD"
"XYZ","BLOCK INC CLASS A","Financials","Aktien","9.344.841,12","0,04","9.344.841,12","143.568,00","65,09","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"UCB","UCB SA","Gesundheitsversorgung","Aktien","9.315.478,79","0,04","9.315.478,79","33.243,00","280,22","Belgien","Nyse Euronext - Euronext Brussels","EUR"
"TEVA","TEVA PHARMACEUTICAL INDUSTRIES ADR","Gesundheitsversorgung","Aktien","9.254.794,93","0,04","9.254.794,93","296.533,00","31,21","Israel","New York Stock Exchange Inc.","USD"
"OTP","OTP BANK","Financials","Aktien","9.251.006,32","0,04","9.251.006,32","86.161,00","107,37","Ungarn","Budapest Stock Exchange","HUF"
"8725","MS&AD INSURANCE GROUP HOLDINGS INC","Financials","Aktien","9.180.185,01","0,04","9.180.185,01","390.700,00","23,50","Japan","Tokyo Stock Exchange","JPY"
"GEHC","GE HEALTHCARE TECHNOLOGIES INC","Gesundheitsversorgung","Aktien","9.167.703,48","0,04","9.167.703,48","111.774,00","82,02","Vereinigte Staaten","NASDAQ","USD"
"RWE","RWE AG","Versorger","Aktien","9.108.372,73","0,04","9.108.372,73","171.353,00","53,16","Deutschland","Xetra","EUR"
"CBK","COMMERZBANK AG","Financials","Aktien","9.100.230,52","0,04","9.100.230,52","214.640,00","42,40","Deutschland","Xetra","EUR"
"NRG","NRG ENERGY INC","Versorger","Aktien","9.098.177,40","0,04","9.098.177,40","57.135,00","159,24","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"LUMI","BANK LEUMI LE ISRAEL","Financials","Aktien","9.045.273,63","0,03","9.045.273,63","410.658,00","22,03","Israel","Tel Aviv Stock Exchange","ILS"
"HUM","HUMANA INC","Gesundheitsversorgung","Aktien","9.039.339,96","0,03","9.039.339,96","35.292,00","256,13","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"PCG","PG&E CORP","Versorger","Aktien","9.019.866,02","0,03","9.019.866,02","561.286,00","16,07","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"5802","SUMITOMO ELECTRIC INDUSTRIES LTD","Zyklische Konsumgüter ","Aktien","9.006.603,08","0,03","9.006.603,08","223.200,00","40,35","Japan","Tokyo Stock Exchange","JPY"
"GRMN","GARMIN LTD","Zyklische Konsumgüter ","Aktien","8.998.223,15","0,03","8.998.223,15","44.359,00","202,85","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"GFI","GOLD FIELDS LTD","Materialien","Aktien","8.991.533,76","0,03","8.991.533,76","205.302,00","43,80","Südafrika","Johannesburg Stock Exchange","ZAR"
"TER","TERADYNE INC","IT","Aktien","8.983.700,28","0,03","8.983.700,28","46.413,00","193,56","Vereinigte Staaten","NASDAQ","USD"
"GIVN","GIVAUDAN SA","Materialien","Aktien","8.926.737,77","0,03","8.926.737,77","2.248,00","3.970,97","Schweiz","SIX Swiss Exchange","CHF"
"MCHP","MICROCHIP TECHNOLOGY INC","IT","Aktien","8.913.217,32","0,03","8.913.217,32","139.881,00","63,72","Vereinigte Staaten","NASDAQ","USD"
"KDP","KEURIG DR PEPPER INC","Nichtzyklische Konsumgüter","Aktien","8.896.788,29","0,03","8.896.788,29","317.629,00","28,01","Vereinigte Staaten","NASDAQ","USD"
"9618","JD.COM CLASS A INC","Zyklische Konsumgüter ","Aktien","8.889.445,06","0,03","8.889.445,06","619.991,00","14,34","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"GALD","GALDERMA GROUP N AG","Gesundheitsversorgung","Aktien","8.881.790,98","0,03","8.881.790,98","43.409,00","204,61","Schweiz","SIX Swiss Exchange","CHF"
"4578","OTSUKA HOLDINGS LTD","Gesundheitsversorgung","Aktien","8.876.113,43","0,03","8.876.113,43","156.800,00","56,61","Japan","Tokyo Stock Exchange","JPY"
"SYF","SYNCHRONY FINANCIAL","Financials","Aktien","8.873.698,23","0,03","8.873.698,23","106.361,00","83,43","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"8267","AEON LTD","Nichtzyklische Konsumgüter","Aktien","8.865.335,42","0,03","8.865.335,42","561.000,00","15,80","Japan","Tokyo Stock Exchange","JPY"
"VEEV","VEEVA SYSTEMS INC CLASS A","Gesundheitsversorgung","Aktien","8.823.388,98","0,03","8.823.388,98","39.526,00","223,23","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"MDB","MONGODB INC CLASS A","IT","Aktien","8.820.205,04","0,03","8.820.205,04","21.016,00","419,69","Vereinigte Staaten","NASDAQ","USD"
"ADS","ADIDAS N AG","Zyklische Konsumgüter ","Aktien","8.772.325,49","0,03","8.772.325,49","44.184,00","198,54","Deutschland","Xetra","EUR"
"SOFI","SOFI TECHNOLOGIES INC","Financials","Aktien","8.734.747,56","0,03","8.734.747,56","333.642,00","26,18","Vereinigte Staaten","NASDAQ","USD"
"CLS","CELESTICA INC","IT","Aktien","8.703.408,97","0,03","8.703.408,97","29.384,00","296,20","Kanada","Toronto Stock Exchange","CAD"
"ODFL","OLD DOMINION FREIGHT LINE INC","Industrie","Aktien","8.685.465,60","0,03","8.685.465,60","55.392,00","156,80","Vereinigte Staaten","NASDAQ","USD"
"CIEN","CIENA CORP","IT","Aktien","8.677.044,74","0,03","8.677.044,74","37.102,00","233,87","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"BMW","BMW AG","Zyklische Konsumgüter ","Aktien","8.623.077,56","0,03","8.623.077,56","78.830,00","109,39","Deutschland","Xetra","EUR"
"XYL","XYLEM INC","Industrie","Aktien","8.622.236,70","0,03","8.622.236,70","63.315,00","136,18","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"HPE","HEWLETT PACKARD ENTERPRISE","IT","Aktien","8.614.773,00","0,03","8.614.773,00","358.650,00","24,02","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"WDS","WOODSIDE ENERGY GROUP LTD","Energie","Aktien","8.611.773,99","0,03","8.611.773,99","547.440,00","15,73","Australien","Asx - All Markets","AUD"
"ACGL","ARCH CAPITAL GROUP LTD","Financials","Aktien","8.601.050,48","0,03","8.601.050,48","89.669,00","95,92","Vereinigte Staaten","NASDAQ","USD"
"VTR","VENTAS REIT INC","Immobilien","Aktien","8.545.382,92","0,03","8.545.382,92","110.434,00","77,38","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"MTD","METTLER TOLEDO INC","Gesundheitsversorgung","Aktien","8.538.019,56","0,03","8.538.019,56","6.124,00","1.394,19","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"6954","FANUC CORP","Industrie","Aktien","8.508.168,04","0,03","8.508.168,04","219.200,00","38,81","Japan","Tokyo Stock Exchange","JPY"
"ADM","ARCHER DANIELS MIDLAND","Nichtzyklische Konsumgüter","Aktien","8.487.248,70","0,03","8.487.248,70","147.630,00","57,49","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"3382","SEVEN & I HOLDINGS LTD","Nichtzyklische Konsumgüter","Aktien","8.468.180,17","0,03","8.468.180,17","589.800,00","14,36","Japan","Tokyo Stock Exchange","JPY"
"AMS","AMADEUS IT GROUP SA","Zyklische Konsumgüter ","Aktien","8.469.420,18","0,03","8.469.420,18","114.758,00","73,80","Spanien","Bolsa De Madrid","EUR"
"SDZ","SANDOZ GROUP AG","Gesundheitsversorgung","Aktien","8.457.306,76","0,03","8.457.306,76","115.842,00","73,01","Schweiz","SIX Swiss Exchange","CHF"
"FSLR","FIRST SOLAR INC","IT","Aktien","8.450.790,50","0,03","8.450.790,50","32.350,00","261,23","Vereinigte Staaten","NASDAQ","USD"
"AHT","ASHTEAD GROUP PLC","Industrie","Aktien","8.445.599,91","0,03","8.445.599,91","123.457,00","68,41","Vereinigtes Königreich","London Stock Exchange","GBP"
"SAND","SANDVIK","Industrie","Aktien","8.422.004,12","0,03","8.422.004,12","258.286,00","32,61","Schweden","Nasdaq Omx Nordic","SEK"
"HO","THALES SA","Industrie","Aktien","8.412.697,86","0,03","8.412.697,86","31.171,00","269,89","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"UMG","UNIVERSAL MUSIC GROUP NV","Kommunikation","Aktien","8.406.496,38","0,03","8.406.496,38","321.989,00","26,11","Niederlande","Euronext Amsterdam","EUR"
"EQT","EQT CORP","Energie","Aktien","8.403.676,00","0,03","8.403.676,00","156.785,00","53,60","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"FIX","COMFORT SYSTEMS USA INC","Industrie","Aktien","8.382.810,78","0,03","8.382.810,78","8.982,00","933,29","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"000270","KIA CORPORATION CORP","Zyklische Konsumgüter ","Aktien","8.348.231,44","0,03","8.348.231,44","98.736,00","84,55","Korea","Korea Exchange (Stock Market)","KRW"
"ORA","ORANGE SA","Kommunikation","Aktien","8.300.270,82","0,03","8.300.270,82","497.702,00","16,68","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"POW","POWER CORPORATION OF CANADA","Financials","Aktien","8.284.767,72","0,03","8.284.767,72","155.673,00","53,22","Kanada","Toronto Stock Exchange","CAD"
"NBK","NATIONAL BANK OF KUWAIT","Financials","Aktien","8.267.034,72","0,03","8.267.034,72","2.504.545,00","3,30","Kuwait","Kuwait Stock Exchange","KWD"
"CINF","CINCINNATI FINANCIAL CORP","Financials","Aktien","8.247.333,36","0,03","8.247.333,36","50.498,00","163,32","Vereinigte Staaten","NASDAQ","USD"
